Date,Australian_Equities,Australian_Property,Global_Equities_$A,Global_Equities_LCL,Aust._Bonds,Global_Property_Hdg,Cash,Global_Bonds,Alts
1/07/2008,-4.56,-4.97,-0.30,-1.68,1.79,1.08,0.67,1.20,-2.61
1/08/2008,4.09,10.30,7.78,1.10,2.16,3.04,0.67,1.47,-1.47
1/09/2008,-9.85,-5.80,-3.62,-10.78,1.28,-4.70,0.59,-0.65,-6.55
1/10/2008,-12.61,-25.16,-2.88,-16.53,2.01,-31.65,0.71,-0.81,-6.30
1/11/2008,-6.20,0.25,-5.22,-6.02,2.96,-16.04,0.54,3.04,-4.15
1/12/2008,-0.28,-10.51,-3.68,1.12,1.25,7.85,0.43,2.54,-0.03
1/01/2009,-4.88,-9.71,0.17,-7.13,1.41,-12.89,0.40,-0.62,1.09
1/02/2009,-4.57,-16.21,-10.83,-9.03,-1.23,-15.61,0.29,0.21,-0.88
1/03/2009,7.98,-0.04,-1.40,6.36,0.12,3.07,0.26,1.05,0.65
1/04/2009,5.57,6.07,5.18,10.60,0.00,19.52,0.26,0.64,1.68
1/05/2009,1.36,3.80,0.08,5.91,-0.72,3.67,0.25,0.39,4.06
1/06/2009,4.00,4.60,-1.62,-0.17,-0.61,-0.33,0.27,1.13,0.43
1/07/2009,7.31,2.42,5.42,7.45,0.31,8.95,0.27,1.55,2.54
1/08/2009,6.57,16.03,2.54,3.66,0.72,13.57,0.25,1.26,1.53
1/09/2009,6.24,9.77,-0.94,2.97,0.72,5.84,0.28,1.05,3.04
1/10/2009,-2.08,-9.04,-4.14,-2.23,-0.08,-3.29,0.26,0.46,0.13
1/11/2009,1.78,1.01,2.79,3.20,1.50,2.93,0.30,1.28,2.11
1/12/2009,3.74,3.38,3.61,3.74,-0.38,5.84,0.32,-0.62,0.88
1/01/2010,-6.18,-2.87,-2.88,-3.50,1.35,-3.71,0.35,1.35,0.17
1/02/2010,2.16,1.46,0.58,1.96,0.47,3.42,0.32,0.77,0.68
1/03/2010,5.75,-0.05,3.52,6.61,-0.55,7.20,0.35,0.56,2.22
1/04/2010,-1.38,3.72,-1.36,0.40,0.55,4.18,0.35,0.88,1.24
1/05/2010,-7.51,-4.07,0.68,-7.47,1.65,-5.80,0.38,1.18,-2.76
1/06/2010,-2.59,-0.84,-4.15,-4.18,1.37,-2.74,0.40,1.25,-0.84
1/07/2010,4.47,1.02,0.73,5.80,0.27,7.78,0.42,1.14,1.59
1/08/2010,-1.15,3.74,-2.12,-3.40,1.92,0.44,0.41,2.08,0.23
1/09/2010,4.62,-0.90,0.33,7.09,-0.90,4.85,0.37,0.20,3.43
1/10/2010,1.78,-0.44,2.50,2.92,0.00,4.08,0.42,0.29,1.92
1/11/2010,-1.07,-2.05,0.05,-0.24,-0.22,-2.40,0.39,-0.75,-0.18
1/12/2010,3.66,1.21,0.32,5.78,0.03,5.37,0.42,-0.02,2.90
1/01/2011,0.18,2.41,5.33,2.02,0.92,2.36,0.43,0.09,0.69
1/02/2011,2.35,3.23,1.29,2.99,0.42,3.77,0.37,0.53,1.38
1/03/2011,0.67,-1.82,-2.63,-1.30,0.68,-0.61,0.42,0.34,0.12
1/04/2011,-0.29,0.21,-1.55,2.43,0.48,4.45,0.40,1.24,1.80
1/05/2011,-1.97,-0.01,0.70,-1.12,1.28,1.82,0.42,1.38,-0.96
1/06/2011,-1.80,-0.70,-2.07,-1.55,0.55,-1.90,0.40,0.22,-1.36
1/07/2011,-3.97,-6.59,-4.29,-2.62,1.67,-0.33,0.42,1.49,0.69
1/08/2011,-1.91,3.12,-4.77,-6.91,1.99,-4.79,0.43,1.68,-2.30
1/09/2011,-6.13,-4.50,0.95,-6.03,0.90,-9.71,0.39,1.05,-3.20
1/10/2011,7.25,3.80,0.85,8.63,-0.57,9.61,0.42,0.34,1.73
1/11/2011,-3.48,2.64,0.93,-1.14,1.73,-3.16,0.39,-0.20,-0.79
1/12/2011,-1.35,-2.65,0.21,0.69,0.78,2.30,0.40,1.90,-0.22
1/01/2012,5.08,5.41,1.17,4.33,0.14,6.13,0.39,1.33,2.34
1/02/2012,1.91,2.22,3.24,4.92,-0.21,1.27,0.33,0.68,1.61
1/03/2012,1.22,-0.69,5.80,1.84,0.86,4.18,0.39,0.20,0.05
1/04/2012,1.43,5.49,-1.73,-1.57,1.59,2.81,0.38,0.96,-0.04
1/05/2012,-6.64,-1.26,-1.76,-6.67,3.10,-3.81,0.38,1.46,-1.33
1/06/2012,0.66,4.42,-0.62,4.45,-0.16,5.17,0.28,0.14,-0.40
1/07/2012,4.28,5.63,-1.56,1.25,0.37,3.36,0.29,1.62,1.42
1/08/2012,2.14,-0.08,4.50,2.05,0.63,0.60,0.30,0.54,0.84
1/09/2012,2.18,1.31,2.11,2.20,0.97,0.01,0.31,0.67,1.04
1/10/2012,2.98,5.30,-0.52,-0.56,0.02,1.56,0.30,0.58,-0.18
1/11/2012,0.47,-1.34,0.67,1.56,0.01,0.85,0.25,0.74,0.64
1/12/2012,3.35,2.86,2.34,1.91,0.18,3.16,0.29,0.34,1.48
1/01/2013,4.95,4.42,4.59,5.42,-0.23,3.70,0.27,-0.31,2.07
1/02/2013,5.37,3.52,1.90,1.35,0.59,1.94,0.22,0.83,0.24
1/03/2013,-2.21,-2.68,0.61,2.94,-0.20,2.93,0.25,0.75,1.21
1/04/2013,4.54,8.24,3.54,2.77,1.54,6.23,0.26,1.33,1.39
1/05/2013,-4.50,-3.72,8.84,1.78,-0.07,-5.36,0.26,-1.31,0.42
1/06/2013,-2.32,-0.84,2.31,-2.39,-1.05,-2.48,0.23,-1.24,-1.66
1/07/2013,5.20,-0.79,7.45,4.76,0.86,1.04,0.25,0.63,0.88
1/08/2013,2.50,-0.16,-1.50,-2.17,-0.32,-5.01,0.23,-0.17,-0.54
1/09/2013,2.19,1.00,-0.06,3.83,0.50,4.28,0.21,0.98,1.27
1/10/2013,3.97,2.65,2.55,3.97,-0.06,3.52,0.22,1.11,1.59
1/11/2013,-1.31,-2.77,5.69,2.33,-0.10,-3.46,0.21,0.05,1.31
1/12/2013,0.79,-1.33,4.44,2.18,0.53,0.13,0.21,-0.36,1.19
1/01/2014,-3.03,0.47,-1.20,-3.22,1.09,2.32,0.22,1.67,-0.29
1/02/2014,4.97,4.33,2.30,4.24,0.34,4.78,0.20,0.67,1.72
1/03/2014,0.29,-1.60,-3.43,0.24,0.02,-0.05,0.22,0.31,-0.48
1/04/2014,1.77,5.70,1.03,0.75,0.91,3.81,0.22,0.90,-0.21
1/05/2014,0.68,0.05,1.54,2.40,1.37,3.15,0.22,1.17,1.13
1/06/2014,-1.50,3.34,0.44,1.52,0.80,1.18,0.22,0.55,0.96
1/07/2014,4.40,5.00,-0.25,-0.93,0.29,1.01,0.23,0.46,-0.31
1/08/2014,0.62,1.69,1.63,2.76,1.01,2.72,0.23,1.43,0.88
1/09/2014,-5.38,-5.35,4.30,-0.81,-0.33,-4.87,0.21,-0.11,-0.01
1/10/2014,4.43,6.78,0.05,1.05,0.96,7.92,0.23,0.95,-0.80
1/11/2014,-3.25,-0.07,5.32,3.14,1.27,2.72,0.22,1.17,1.50
1/12/2014,2.06,4.50,2.63,-0.81,1.69,1.79,0.23,0.75,0.01
